customer_id,purchases
1,1
2,10
3,8
4,3
5,12
6,4
7,12
8,4
9,14
10,17
11,1
12,13
13,7
14,1
15,11
16,2
17,19
18,8
19,10
20,19
21,13
22,12
23,7
24,3
25,3
26,12
27,19
28,3
29,15
30,18
31,10
32,5
33,19
34,16
35,5
36,1
37,7
38,0
39,10
40,0
41,6
42,11
43,16
44,10
45,0
46,17
47,19
48,2
49,1
50,0
51,9
52,19
53,16
54,9
55,5
56,6
57,15
58,14
59,2
60,7
61,18
62,0
63,11
64,16
65,1
66,17
67,5
68,7
69,0
70,15
71,5
72,6
73,13
74,19
75,10
76,17
77,16
78,2
79,12
80,5
81,12
82,19
83,15
84,17
85,1
86,4
87,3
88,9
89,1
90,12
91,3
92,17
93,8
94,5
95,16
96,1
97,0
98,8
99,14
100,7
101,3
102,12
103,7
104,6
105,15
106,9
107,10
108,15
109,15
110,8
111,0
112,14
113,1
114,19
115,3
116,0
117,5
118,2
119,18
120,1
121,1
122,3
123,19
124,10
125,5
126,10
127,9
128,15
129,16
130,18
131,4
132,16
133,16
134,13
135,16
136,15
137,19
138,8
139,16
140,0
141,19
142,14
143,13
144,13
145,10
146,1
147,12
148,13
149,1
150,5
151,17
152,6
153,10
154,11
155,3
156,17
157,7
158,6
159,16
160,0
161,8
162,12
163,17
164,10
165,10
166,7
167,3
168,18
169,17
170,14
171,18
172,6
173,0
174,15
175,17
176,2
177,10
178,8
179,19
180,1
181,19
182,2
183,13
184,0
185,8
186,13
187,4
188,2
189,9
190,3
191,14
192,12
193,12
194,6
195,18
196,19
197,15
198,11
199,11
200,11
201,13
202,3
203,10
204,14
205,8
206,13
207,13
208,15
209,0
210,16
211,10
212,13
213,10
214,16
215,4
216,19
217,0
218,9
219,5
220,9
221,13
222,9
223,16
224,9
225,3
226,3
227,4
228,2
229,7
230,0
231,9
232,10
233,7
234,15
235,1
236,1
237,15
238,16
239,10
240,14
241,18
242,0
243,0
244,1
245,13
246,2
247,15
248,9
249,17
250,13
251,18
252,10
253,5
254,8
255,5
256,15
257,13
258,0
259,11
260,8
261,6
262,6
263,2
264,13
265,6
266,18
267,13
268,11
269,14
270,19
271,19
272,1
273,13
274,16
275,14
276,5
277,11
278,17
279,8
280,0
281,19
282,19
283,7
284,13
285,3
286,3
287,13
288,1
289,10
290,11
291,9
292,4
293,6
294,9
295,1
296,11
297,19
298,8
299,2
300,11
301,8
302,10
303,18
304,1
305,7
306,1
307,14
308,13
309,10
310,7
311,0
312,6
313,14
314,1
315,0
316,5
317,3
318,7
319,16
320,18
321,15
322,19
323,15
324,11
325,17
326,8
327,2
328,3
329,11
330,3
331,6
332,7
333,8
334,10
335,17
336,9
337,18
338,11
339,4
340,16
341,19
342,15
343,5
344,1
345,11
346,0
347,6
348,4
349,8
350,5
351,15
352,0
353,17
354,19
355,3
356,8
357,19
358,17
359,5
360,4
361,10
362,2
363,17
364,16
365,15
366,4
367,10
368,15
369,8
370,11
371,7
372,8
373,7
374,12
375,13
376,18
377,1
378,10
379,18
380,9
381,11
382,1
383,9
384,16
385,3
386,11
387,3
388,3
389,0
390,0
391,18
392,11
393,17
394,8
395,8
396,7
397,8
398,18
399,18
400,7
401,5
402,0
403,17
404,2
405,4
406,5
407,4
408,19
409,6
410,18
411,16
412,15
413,0
414,0
415,13
416,7
417,4
418,7
419,2
420,16
421,5
422,13
423,6
424,8
425,13
426,2
427,8
428,18
429,2
430,14
431,3
432,4
433,10
434,6
435,13
436,1
437,10
438,7
439,7
440,18
441,5
442,7
443,12
444,19
445,12
446,4
447,11
448,9
449,8
450,12
451,17
452,12
453,5
454,3
455,17
456,9
457,6
458,7
459,13
460,5
461,5
462,16
463,9
464,12
465,7
466,4
467,1
468,19
469,6
470,13
471,18
472,14
473,14
474,4
475,10
476,11
477,6
478,13
479,15
480,4
481,4
482,7
483,17
484,7
485,3
486,0
487,16
488,7
489,19
490,6
491,11
492,4
493,3
494,11
495,9
496,2
497,4
498,4
499,13
500,14
501,0
502,16
503,19
504,0
505,17
506,1
507,9
508,1
509,15
510,9
511,7
512,3
513,4
514,3
515,1
516,1
517,2
518,16
519,18
520,17
521,17
522,13
523,3
524,4
