customer_id,age,income,gender
1,66,43406,1
2,21,83327,1
3,49,109121,1
4,40,26396,1
5,30,112315,0
6,64,109981,0
7,44,115119,1
8,26,78385,1
9,54,105011,0
10,23,139203,0
11,39,128314,0
12,65,67715,1
13,21,73863,0
14,68,109462,0
15,58,111027,0
16,60,32479,1
17,30,137535,0
18,30,89475,0
19,37,34653,0
20,27,115749,1
21,32,141663,0
22,53,89995,1
23,22,113852,1
24,19,120655,1
25,29,44956,0
26,62,80764,0
27,50,89398,1
28,48,141679,1
29,47,40118,0
30,65,104162,0
31,29,50507,0
32,38,127303,0
33,38,103551,1
34,27,43945,0
35,53,41530,0
36,61,118660,0
37,31,48514,0
38,53,52787,0
39,24,130907,0
40,61,74443,1
41,66,80872,1
42,21,28829,0
43,61,66907,1
44,52,98874,1
45,62,57366,1
46,69,29025,1
47,59,46045,1
48,50,85357,1
49,19,118317,0
50,28,42367,1
51,52,66989,0
52,33,148452,1
53,69,125321,1
54,68,93656,0
55,44,37833,1
56,65,128560,1
57,61,58447,0
58,67,74809,1
59,25,90552,1
60,60,46942,1
61,60,30725,0
62,39,77995,1
63,42,27923,0
64,30,83012,1
65,31,71854,1
66,69,74342,0
67,37,54816,0
68,33,74149,0
69,57,148123,0
70,34,143163,1
71,46,68972,1
72,39,59100,1
73,20,47596,1
74,31,105051,1
75,62,130361,1
76,62,49662,0
77,61,78729,0
78,47,125007,1
79,64,124995,1
80,22,134666,0
81,54,148709,0
82,50,128719,0
83,52,149531,1
84,19,123623,0
85,44,32776,0
86,55,57163,1
87,48,92592,1
88,52,65697,0
89,24,85551,1
90,25,134214,0
91,50,55771,0
92,66,32778,0
93,35,95488,0
94,26,128346,1
95,31,77753,0
96,32,20277,1
97,69,110107,0
98,67,40328,0
99,55,83379,1
100,55,89593,1
101,47,48113,0
102,59,86236,0
103,29,47065,0
104,24,61667,1
105,35,144878,0
106,30,79011,0
107,29,103013,1
108,43,88500,1
109,66,94440,1
110,23,30709,0
111,69,145334,1
112,19,26788,0
113,67,108616,1
114,30,53601,0
115,43,24480,1
116,67,132681,1
117,40,46266,0
118,60,80355,0
119,28,143974,1
120,37,51911,0
121,59,51833,0
122,47,38859,0
123,62,86068,0
124,36,56385,1
125,25,41352,1
126,60,107624,1
127,29,98886,1
128,24,139397,1
129,60,37998,0
130,32,127103,0
